description,count
1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen],1245
lisinopril 10 MG Oral Tablet,603
insulin isophane  human 70 UNT/ML / insulin  regular  human 30 UNT/ML Injectable Suspension [Humulin],337
sodium fluoride 0.0272 MG/MG Oral Gel,303
amLODIPine 2.5 MG Oral Tablet,263
Hydrochlorothiazide 25 MG Oral Tablet,242
Alendronic acid 10 MG Oral Tablet,115
Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,112
Ibuprofen 400 MG Oral Tablet [Ibu],96
10 ML Furosemide 10 MG/ML Injection,94
