description,count
1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen],1245
lisinopril 10 MG Oral Tablet,603
insulin isophane  human 70 UNT/ML / insulin  regular  human 30 UNT/ML Injectable Suspension [Humulin],337
sodium fluoride 0.0272 MG/MG Oral Gel,303
amLODIPine 2.5 MG Oral Tablet,263
Hydrochlorothiazide 25 MG Oral Tablet,242
Alendronic acid 10 MG Oral Tablet,115
Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,112
Ibuprofen 400 MG Oral Tablet [Ibu],96
10 ML Furosemide 10 MG/ML Injection,94
Acetaminophen 325 MG Oral Tablet [Tylenol],87
Acetaminophen 325 MG Oral Tablet,52
tramadol hydrochloride 50 MG Oral Tablet,49
albuterol 5 MG/ML Inhalation Solution,48
60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,48
1 ML tacrolimus 5 MG/ML Injection,48
Simvastatin 10 MG Oral Tablet,41
72 HR Fentanyl 0.025 MG/HR Transdermal System,35
Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet],34
Naproxen sodium 220 MG Oral Tablet,30
Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,30
24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet,27
24 HR tacrolimus 1 MG Extended Release Oral Tablet,27
Furosemide 40 MG Oral Tablet,26
Acetaminophen 300 MG / Codeine Phosphate 15 MG Oral Tablet,25
Yaz 28 Day Pack,23
1 ML medroxyPROGESTERone acetate 150 MG/ML Injection,23
Ibuprofen 200 MG Oral Tablet,22
Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],22
Etonogestrel 68 MG Drug Implant,21
0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe,20
Acetaminophen 500 MG Oral Tablet,20
carvedilol 25 MG Oral Tablet,19
